,Comment,id,date,Pos,Neg,Neu
0,Come on then - Q5 vs GLC vs X3. Which are you choosing? VOTE below!,"


@carwow


 
 @carwow
 








",2 years ago,0.0,0.0,1.0
1,I’m always blown away when adaptive cruise control and lane keep assist is optional when it’s standard on a corolla ,"
 @beecars
 ",2 years ago,0.0,0.0,1.0
2,"I shortlisted the 2021 GLB,GLC,X3 and Q5. Took all of them out for a lengthy test (some received 3 test drives) The driving experience is overrated with the X3 in my opinion. I was shocked because all the reviews speak to its sportiness and better driver engagement. To be completely honest I much preferred  the Q5 driving experience much more. The Q5 has the identity of would I expect a “luxury family” SUV to be. It was plush, quiet, comfortable and had more than enough power in all situations. The others felt a bit harsh compared to it. Maybe my expectations are different than the other reviewers.","
 @Strictlybusiness79
 ",2 years ago,0.115,0.047,0.838
3,This looks more and more decent choice for a city SUV. I'm amazed at the way they strike a balance between volume and vehicle size.,"
 @sumatranobu
 ",2 years ago,0.125,0.058,0.817
4,"The new Q5 is a lovely car, but somehow I feel that the first one, especially the facelifted B8.5 generation, was the best looking. Thanks for the vid!","


@Auditography


 
 @Auditography
 








",2 years ago,0.349,0.0,0.651
5,"Great review, as always. But I've noticed that car reviewers never mention the safety features of a car. It's always the design, the interior and in Matt's case, the log of truth and the drive . But safety, which is one of the most important reasons why families buy such cars, nada.","
 @africanandproud6792
 ",2 years ago (edited),0.138,0.101,0.761
6,"Nice review. 32 MPG equals 7.35 L/100 km. Which is actually awesome for a car like this with powerful tubro-4. Given that the modern diesel motors are cut in power due to environment regulations, for most people I guess 2.0T would be the most adequate choice if you average 20-25 thousand KM per year. If you do more than 50 thousand km, then the economy from diesel will be more substantial. However I doubt it is very important in 50-60k USD car.","
 @drkovalchuk
 ",2 years ago,0.199,0.052,0.749
7,"I think it's interesting to compare these to Model X, EQC, Etton and Ipace. I know motor journos are generally treating ICE and EVs as two different worlds. But in reality a lot customers are actually choosing between both. And although the EVs are on paper miles more expensive, when you boil it down to a monthly total cost that gap closes a lot (especially for a company car).","
 @MultiBadger32
 ",2 years ago,0.029,0.0,0.971
8,"I'd go for the BMW X3 as it looks like a nicer place to be than the other two and as for the car having the dirty rear end, why don't manufacturers just fit something like a very thin roller blind just inside the back where the lip is that just pulls up and out then drapes down over the back of the car, or if the car has a retractable parcel shelf which clips in, fit another two clips just inside the rear of the car and use the parcel shelf as a cover for the rear end of the car, only the underside of the parcel shelf would get any grime on it which wouldn't be seen when put back where it should be, then when you lean into the car, you wouldn't get dirty breeks.","
 @r.w.9699
 ",2 years ago,0.053,0.104,0.842
9,"I received a GLC for a loner car while my E-Class was having an oil change. I would give the GLC a 9/10. The interior was posh and stylish, the ride quality was super and was surprisingly fast. The infotainment was fast to respond but took like 2 days to get used too.","
 @SM-1010
 ",2 years ago,0.141,0.032,0.828
