,Comment,id,date,Pos,Neg,Neu
0,"Beckham is a perfect fit for this brand. I love Maserati, their passion, design and sound","
 @carmcarm8230
 ",10 months ago,0.573,0,0.427
1,Let it be a powerful come back,"
 @ahemdbinbash4502
 ",10 months ago,0.359,0,0.641
2,I love how Beckham wears a Tudor at first and get out of the car wearing a JLC,"
 @jasonzhou6711
 ",10 months ago,0.231,0,0.769
3,"Maserati, my dream Car!!!!","
 @carmcarm8230
 ",10 months ago,0.514,0,0.486
4,Can't wait to see the levante with the new styling,"
 @PL-pq3rm
 ",10 months ago,0.0,0,1.0
5,Forza Maserati! Grande Maserati,"
 @tunggulametung3990
 ",10 months ago,0.0,0,1.0
6,WW David Beckham your legand we love it from LIBYA 🇱🇾 much fans there,"
 @moksetharous9639
 ",10 months ago,0.244,0,0.756
7,All kinds of jaguar vibes on the front change ,"
 @kenisaac3851
 ",10 months ago,0.0,0,1.0
8,Wow..  Maserati is so much more horsepower,"
 @Astoroth34
 ",9 months ago,0.0,0,1.0
9,I love maserati its the best,"
 @tessiebedoya5120
 ",10 months ago,0.737,0,0.263
10,He was wearing David Beckham Classic perfume.,"
 @omsh4939
 ",5 months ago,0.0,0,1.0
11,,"
 @PrathameshDesai01071993
 ",10 months ago,0.0,0,0.0
12,The trident life.,"
 @obinnayoung
 ",10 months ago,0.0,0,1.0
13,Hope Maserati will go back to F1.,"
 @redosorio5278
 ",10 months ago,0.326,0,0.674
14,Hmmm what a car,"
 @setiyantisoetedjo7109
 ",10 months ago,0.0,0,1.0
15, coool,"
 @abduljaberpa
 ",10 months ago,0.0,0,1.0
16,Wow exellent car,"
 @setiyantisoetedjo7109
 ",10 months ago,0.655,0,0.345
17,Grecale or Beckham. I choose to watch Beckham ,"
 @chrisaloysius4472
 ",10 months ago,0.0,0,1.0
18,Top !,"
 @giuseppescalzo3025
 ",10 months ago,1.0,0,0.0
19,Epic,"
 @athulwayanad
 ",10 months ago,0.0,0,1.0
20,"Maserati, take me to Hungaroring!","
 @szabolcskomaromi
 ",10 months ago,0.0,0,1.0
21,"Maserati, take me...","
 @basamak
 ",10 months ago,0.0,0,1.0
22,I will see you at Good Wood ,"
 @setiyantisoetedjo7109
 ",10 months ago,0.367,0,0.633
23,,"
 @onon4828
 ",10 months ago,0.0,0,0.0
24,What watch is he wearing?,"
 @TNVlogs8
 ",9 months ago,0.0,0,1.0
25,,"
 @punyaslokmohapatra7528
 ",10 months ago,0.0,0,0.0
26,Wooow,"
 @francrich2805
 ",10 months ago,0.0,0,1.0
27,I am coming here after see you on facebook status today...,"
 @dabbusingh2243
 ",10 months ago,0.0,0,1.0
28,Hmmm Maserati or british car manufacturer for british legend.,"
 @knockcro
 ",10 months ago,0.0,0,1.0
29,the door look cheap..,"
 @thedivingbanjars5573
 ",10 months ago,0.0,0,1.0
