,Comment,id,date,Pos,Neg,Neu
0,"It looks like a Macan, especially from the front, but nicer overall. $92,000 is a lot of money for a 4 cylinder turbo. At that price, I think there are better options at this price like the BMW X3 or X4 M Competition. Great review Joe.","
 @Another_User_Name_
 ",5 months ago,0.344,0.0,0.656
1,"Been waiting for this one! Many people say the base Macan is almost the perfect performance SUV. The lighter engine and just-good-enough power allowing you to have mind-blasting fun while still staying mostly legal. This to me is the new alternative. That is probably one of the best sounding 4-cylinders I've heard, about as good as the AMG M139. This is why it pays to stay in school kids! ","
 @trevorsutherland5263
 ",5 months ago,0.199,0.0,0.801
2,"i was just about to ask if you were going to review this, really wanting to see if Maserati vehicles have truly changed. Thanks you, Joe, Lori and everyone who contributes to making this happen consistently","
 @jordangreen1221
 ",5 months ago,0.149,0.0,0.851
3,"I am glad to see your description mentions the true competitors this vehicle was designed to go up against.  It was not created to compete with the Stelvio Q because its based on the same platform and built in the same facility.  The way Stellantis has cast the line-up from smallest to largest is as follows  Tonale < Stelvio < Grecale < Levante.  Even though the Grecale is built on the same platform as the Stelvio, it is technically the larger of the two.  Its most direct competitor is the Porsche Macan that is where Maserati set their sights when they first started playing around with concepts years ago and was repeated again by its leadership.   What the Italians do with 4 Cylinder engines is truly impressive.  I have to admit that I am a Maserati loyalists, now having owned 5 in total.  There are a couple of things I see with the interior that need some polish so I imagine when I decide to go from my Levante to one of these I will be checking to see if that fit and finish has been fixed or if I am going to be requesting the dealership get the fixes done.  I have done that before on my Maserati's.  Yea sure it should be right from the start but it isn't and it doesn't stop me from buying it.","
 @jmwdba
 ",5 months ago (edited),0.082,0.006,0.912
4,"This Grecale took my by surprise and it is a nice luxury SUV. Loved the interior, yes it has tons of gloss black but everything looks pretty good.","
 @omarcortes5754
 ",5 months ago,0.431,0.0,0.569
5,"Great stuff Joe! I’m a huge Maserati fan, but 92k for this SUV is way too much money. Thanks for bringing it to us.","
 @chabbysrides
 ",5 months ago,0.345,0.0,0.655
6,"I'm a little underwhelmed by the 4 cylinder at that price, but you can't deny they put a lot of money into that nice interior.","
 @Lazirus951
 ",5 months ago,0.238,0.0,0.762
7,Great job with this video!! I always enjoy how much detail you put into these videos!! Keep up the good work!! ,"
 @jbphantom110
 ",5 months ago,0.401,0.0,0.599
8,🇺🇸  LOVE this new Maserati Grecale !! It's a BIT pricey !! GREAT detailed review !! Glad this SUV has a heads-up display !!  Somehow I missed when you talked about the rear-view mirror/camera !! #RaitisRides  🇺🇸,"
 @susanjspaulding
 ",5 months ago (edited),0.302,0.048,0.65
9,"Ordered a trofeo for my wife in place of a p400 HSE velar just wasn’t getting built. You’ll much prefer the trofeo. It’s essentially stelvio qv engine sound/character/zf8 tuning, but with a far superior interior and much more comfortable air suspension","
 @domino333555
 ",5 months ago,0.211,0.0,0.789
10,Lot of nice tech and blend of luxury. I’m just not too thrilled about paying over 90 large for little four banger.,"
 @MEnglish404
 ",5 months ago,0.111,0.095,0.793
11,I like how the screen bends. Never seen that before. Good looking fresh interior for Maserati ,"
 @Nestle245
 ",5 months ago,0.391,0.0,0.609
12,I like the red and black interior. Dash has a clean everyday driving look. Nice review !,"
 @flubberlane8437
 ",5 months ago,0.43,0.0,0.57
13,"One month later and I'm back. the cars are on the lots and you can actually drive it. Joe as always thorough review! My real life opinion, it sounds cheap, ride is underwhelming, materials might as well be a Dodge. For my wife, 5'4 115 it is spacious enough, zero complaints. admittedly  I'm  getting a little older and the down side is I had enough cars in my life to realize that cars simply aren't made like they used to. I drive a 2022 Ram anniversary edition and it has cooling rear seats, you mean to tell me for 92k they couldn't do the same? I said all of this just to say it's not worth the price, buy some Legos and build your own car. This is possibly worth 60-65k tops!
P.S. Every car / SUV doesn't have to be judged on speed, luxury is important too.","
 @clearinsight2696
 ",3 months ago,0.048,0.058,0.894
