,Comment,id,date,Pos,Neg,Neu
0,"Spettacolare, vista su strada ancor meglio che nelle presentazioni","
 @jacopo2505
 ",1 year ago,0.0,0.0,1.0
1,"È bellissima.. vorrei un approfondimento sulla qualità dei materiali, delle rifiniture e degli assemblaggi, sperando che il gap con le tedesche sia stato definitivamente colmato","
 @alessiosammartino7620
 ",1 year ago,0.0,0.0,1.0
2,Bella. Molto bella. Sono felicissimo di come l’hanno fatta. Spero questa macchina abbia un successo come la Macan. L’unica cosa che mi fa storcere il naso sono i consumi ma ormai su un auto di queste dimensioni è normale.,"
 @plastiquemaraj8839
 ",1 year ago,0.0,0.0,1.0
3,"Ciao a te e a tutti i tuoi collaboratori. Grazie sempre per i servizi e le prove dei vari marchi. Scusa una domanda ma alla fine del servizio per questo SUV hai detto dei paragoni con altri SUV, ma non dicendo, del Aston Martin e della Cadillac. Forse non sono all'altezza, si la Cadillac è più piccola ma quell'altra sia come carrozzeria e motore non è inferiore alla Maserati. Questo è un mio pensiero rivolto a voi tecnici","
 @giorgiomarchesi63
 ",1 year ago,0.027,0.0,0.973
4,"Quindi, in questo caso, il modulo ibrido ti  ha permesso di percorrere circa 10km/l, e scannandola un po' addirittura 6/7 km/l. Insomma, l'emblema dell'efficienza.","
 @leonex84fg
 ",1 year ago,0.089,0.133,0.778
5,"Io da modenese doc, sono solo contento quando vedo che sfornano qualcosa di nuovo, che può picere o meno, ma si distingue dal resto, così come l'MC20.","
 @David-ll3gk
 ",1 year ago,0.0,0.0,1.0
6,Stupenda e devo dire che a Modena e Maranello si rinnovano sempre numeri1come sempre per peso potenza ma io rimango ancora innamorato del V8 ma con questa grecale devo dire che confronto alla concorrenza e'la piu'bella e motori e areodinamica e peso potenza top,"
 @alessandrocorradini2216
 ",1 year ago,0.042,0.14,0.818
7,Bellissima mi piace molto di più della levante  anche se la ghibli rimane la mia preferita magari potersele permettere ,"
 @enricorusconi1755
 ",1 year ago,0.0,0.109,0.891
8,Well done maserati ....its amazing car and gonna make high sales in the US with mc20,"
 @imad7423
 ",1 year ago,0.296,0.0,0.704
9,"Che prodotto, linea esterna sportiva ed elegante 
Interni tech e con stile, auto bellissima","
 @Caprotti92
 ",1 year ago,0.0,0.0,1.0
10,"La Maserati è il top, in tutto e per tutto, cmq vada W Il made in Italy... ️","
 @peppinozulli7811
 ",1 year ago,0.122,0.0,0.878
11,"Per me è stupenda, sicuramente il salto di qualità degli interni si vede","
 @onofrioverzicco562
 ",1 year ago,0.0,0.0,1.0
12,Solo a me ricorda vagamente un accoppiamento con una Ford puma e una Stelvio con interni indubbiamente più qualitativi e raffinati (senza considerare le prestazioni motoristiche) ?,"
 @leonardocostantini9728
 ",1 year ago,0.0,0.0,1.0
13,"Che bella,allestimento e cerchi fantastici","
 @pako7951
 ",1 year ago,0.0,0.0,1.0
14,"Meravigliosa, sopratutto se provata tra le curve che portano a Montevecchia (LC)","
 @gianpaolo697
 ",1 year ago,0.0,0.0,1.0
15,"Like an Italian Porsche Macan, but I fancy this better! Like Fazioli more desirable than Steinway ️","
 @hastensavoir7782
 ",1 year ago,0.546,0.0,0.454
16,Bellissimo cruscotto il primo che vedo saper coniugare nel design la modernità con la tradizione.,"
 @francescoferri9783
 ",1 year ago,0.0,0.0,1.0
17,"Gioiello assoluto e orgoglio italiano.
Peccato che posso solo vederla....","
 @fernandogagliardo6618
 ",1 year ago,0.0,0.0,1.0
