,Comment,id,date,Pos,Neg,Neu
0,"With every silly, exceptionally done video of these two and the Grecale, I realize this is my next SUV. ","
 @KristiColvin
 ",8 months ago,0.061,0.0,0.939
1,Puro arte!!!! Man Machin.... Exelente filmación!!!!,"
 @antoniarredondo3648
 ",1 month ago,0.0,0.0,1.0
2,Grecale. Maserati in every point.  Maserati.,"
 @GiannisVlachos-vw3hb
 ",3 months ago,0.0,0.0,1.0
3,So beautiful ,"
 @umiterturk7207
 ",8 months ago,0.807,0.0,0.193
4,"MAZERATI, Represnta la cultuira Italiana, una cultura bellissima e ricca... 

Questo e' chi siamo  :) 

 FORZA MAZERATI e VIVA ITALIA","
 @ammarbintalibali8111
 ",1 month ago,0.15,0.0,0.85
5,J'aime ... Bravo !,"
 @93VIDEO
 ",8 months ago,0.0,0.0,1.0
6,Bellissimo…anche se mi ricorda un po’ il video di Ferrari Roma,"
 @francescocannella4071
 ",8 months ago,0.0,0.0,1.0
7,Grandeeeee MASEEEEEE🇮🇹,"
 @uk9326
 ",8 months ago,0.0,0.0,1.0
8,,"
 @ACYTGAMER
 ",2 months ago,0.0,0.0,0.0
9,"Alfieri conceptcar=perfect
Mc20=perfect 
Levante=perfect 
Grecale= . . . .....?","
 @user-qs9ts3yn3j
 ",8 months ago,0.0,0.0,1.0
10,"Viva Maserati, VIVA Giorgia ️🇮🇹,","
 @Paradiso540
 ",8 months ago,0.0,0.0,1.0
11,Can you deliver to Alaska?,"
 @NewlifeToday777
 ",8 months ago,0.0,0.0,1.0
12,What's the music playing in the first minute of video (0:30 - 0:55)?  Qual è la musica riprodotta nel primo minuto del video (0:30 - 0:55)?,"
 @konradomoren5593
 ",4 months ago,0.089,0.0,0.911
13,ＳＯ　ｇｒｅａｔ！！！,"
 @gin8315
 ",8 months ago,0.0,0.0,1.0
14,"Amazing Film, but it still reminds me a Ford Puma","
 @Renatic123
 ",8 months ago,0.231,0.0,0.769
15,Viva il made in italy.bravi,"
 @francescoromano7260
 ",8 months ago,0.0,0.0,1.0
16,A Roma ottantadue vittime dall'inizio del 2022  Il messaggio che guidare una Maserati è come guidare una macchinina dell'autoscontro non puo' passare...,"
 @pigipigi7264
 ",8 months ago,0.0,0.0,1.0
17,I love sport car,"
 @user-qs9ts3yn3j
 ",8 months ago,0.677,0.0,0.323
18,I love sedan,"
 @user-qs9ts3yn3j
 ",8 months ago,0.808,0.0,0.192
19,she kinda remind me of that beauty in romeo n juliet original with a touch of dua,"
 @gracie99999
 ",7 months ago,0.319,0.0,0.681
20,Coceptcar Alfieri make please ,"
 @user-qs9ts3yn3j
 ",8 months ago,0.434,0.0,0.566
21,even their bumper cars look sexy wth,"
 @gracie99999
 ",7 months ago,0.288,0.288,0.424
22,,"
 @hrithikmalandkar
 ",8 months ago,0.0,0.0,0.0
23,"What a perfect combination Maserati and Sonus Faber ! ! !
I just love Maseratis
Neymar and Messi Also!","
 @samalbuquerque1765
 ",8 months ago,0.43,0.0,0.57
24,SUV's aren't really my type.,"
 @WonkOfWonkyness
 ",8 months ago,0.0,0.0,1.0
25,Roma pulchra nocte,"
 @raffaeletammeo5368
 ",8 months ago,0.0,0.0,1.0
26,"belle intenzioni, ma tutto sconnesso, non s è visto bene ne la macchina ne roma, dialoghi e sceneggiatura mediocri...per esser un suv ahimè ed in città...e poi a roma, almeno avete svuotato le strade e va bene per le buche... haha","
 @user-nj1ob8ht3p
 ",8 months ago,0.079,0.0,0.921
27,she kinda remind me of that beauty in romeo n juliet original with a touch of dis,"
 @gracie99999
 ",7 months ago,0.319,0.0,0.681
