Name,Comment,Date
EDZ,"I know there are a few on here with orders placed and waiting for their cars and curious as to when delivery maybe, as very little information on progress or news comes from dealers.So thought I would start a new post for people to post any news about their order status to give any info for others waiting. May be post when you ordered, roughly where you are based, estimated delivery date, model and any other update info received. Or if you are a lucky one when you picked it up.I will start: Based in UK, ordered beginning of April, estimated delivery mid October Trefeo Primasirie. Latest info should have car sometime this month. 🤞Hopefully by posting your info it will give others more of an idea of what is going on, I know we have one lucky member already received their car.Thanks.","June 8, 2023"
EDZ,"Another slap in the face today. Just had call from my dealer and the car is again delayed and will now apparently not be here until mid December earliest, might as well have said not until 2023. 🤨 Apparently build delay's mainly on right hand drive cars as far as I'm aware, yet I was told the car went into build beginning of August !!! someone is not telling the truth...............🙄","November 3, 2022"
Modenacanada,Same here. Got a call from my Canadian dealership. Was intitially told October. Now they are telling me mid to late December. It seems like 2023.....,"November 4, 2022"
EDZ,"Thanks for the reply ""Modenacanada"" So obviously not just right hand drive cars delayed. I'm sure they will turn up eventually and yes I'm thinking 2023.","November 5, 2022"
Jean,Warte auch schon seit August auf meinen Trofeo Primaserie in luxemburg,"November 12, 2022"
EDZ,"ThisThanks for posting. Many of us in the same boat at present, let's hope they start to show soon. 👍","November 12, 2022"
schoenthalpeter,"Hi. Waiting on my Trofeo since early september. Promised for November, but may also be February :-(. Very little info (and not accurate) from the dealership here to (but to be honest: I don't call every week to ask where my car is...). Switzerland.","November 13, 2022"
EDZ,"Welcome to the forum.Yes, as you say very little info and never accurate. I also don't contact the dealer every week, I contact the dealer when I was told by them a date the car should approximately arrive, then I'm told another couple of months, that's the frustrating thing, just a little more info and update occasionally would be good.","November 14, 2022"
David,"EDZ said:I know there are a few on here with orders placed and waiting for their cars and curious as to when delivery maybe, as very little information on progress or news comes from dealers.So thought I would start a new post for people to post any news about their order status to give any info for others waiting. May be post when you ordered, roughly where you are based, estimated delivery date, model and any other update info received. Or if you are a lucky one when you picked it up.I will start: Based in UK, ordered beginning of April, estimated delivery mid October Trefeo Primasirie. Latest info should have car sometime this month. 🤞Hopefully by posting your info it will give others more of an idea of what is going on, I know we have one lucky member already received their car.Thanks.Click to expand...Hi I placed an order for a RHD Moderna from a London showroom in July and had an update over the weekend to confirm that the car is still on schedule to be delivered in January.","November 21, 2022"
Trident,Welcome to the forum@David! Good to hear you got an update about your Grecale. How did you spec it?,"November 21, 2022"
David,"So I have chosen Grigio Lava with Nero seats, Giallo stitching, yellow callipers plus sunroof and privacy glass. Can’t find any pictures online of a Moderna in Grigio Lava but the promo film shot in Rome looks like one of the cars is Grigio Lava.","November 21, 2022"
EDZ,Hi David and welcome to the forum.Thanks for the update and nice to hear from another RHD buyer from Britain which is obviously of much interest to myself as we appear to be in the same boat. Last update I had a couple of weeks ago was that my car should arrive early to mid December. But I'm kind of not expecting it till 2023 as the last two dates for delivery given of October and then mid November have come and gone.,"November 22, 2022"
EDZ,Nice comboby the way,"November 22, 2022"
TF007,"@DavidWelcome!Mine is painted in Grigio Lava. Love the colour! Have a look:Grecale Owners ImpressionsLast Friday I picked up my new Maserati Grecale Modena at the dealer. The handover was great and I was stunned by the vehicle in real life. I am impressed in all aspects with this beautiful vehicle. My impressions so far: Look Subjective, but for me the most beautiful SUV on the market. The...www.grecaleforum.com","November 25, 2022"
David,Great review and so good to see pictures of a Modena in Grigio Lava. Can't wait for delivery in January and to start seeing this elegant car on the road.,"November 25, 2022"
mbo222,"Based in Indiana, USA.Sigh. Placed order in June for a trofeo. Dealer has no clue as to arrival....was to be mid Nov.","November 25, 2022"
EDZ,"Thanks for posting mbo222. I have just had another update from my dealer and as expected another delay not arriving next week. Thats 5 different delivery dates given over the last five months so far and still no sign of the car, apparently end of December now. I told my dealer only now contact me when the car has left the factory and on it's way or when it is at your dealership, as I will just take it the car will be here sometime in 2023.","November 25, 2022"
UKTrofeo,"I live in the UK and have a Trofeo (not Primaserie) on order. Originally it was meant to arrive week 47 2022 but now postponed to week 52! Dealer mentioned that Maserati are doing significant quality control checks which is causing the production line to be shut down and hence delayed. Seeing some of the comments here about new cars already having to go back for updates does give a bit of concern.However, I visited the dealer yesterday and their first 2 Grecale’s have now arrived in last few days - no Trofeo’s though. Good to see cars starting to arrive (apparently 25 now arrived in UK). My dealer indicated that he should have 25 Grecale’s delivered by the end of the month, despite Christmas!","December 6, 2022"
EDZ,"Welcome to the forum and another UK member.Yes they are now arriving but like you not mine. I am a little frustrated and annoyed considering I ordered a Trofeo Primaserie in April this year, and according to Maserati advertising ""qoute"" ""Be the first to own before anyone else"" by ordering a Primaserie and mine not even here yet, what utter bull shite from the manufacturer, and Trofeo's for sale on Auto Trader now.","December 6, 2022"
EDZ,"Just had a phone call from my dealer, can't believe what Iv'e just been told, yet another delay and not to expect my car before February 2023 but more than likely beginning of March 2023 😒 but still no actual confirmed date for arrival. To say I had a few choice words to air with them is an understatement, but hats off to the manufacturer and dealer with a better customer relationship response this time and for now what they have done and given has soften the blow a little, but they still have a little work to do to reinstate my confidence and trust in them, lets wait and see what happens next.","December 16, 2022"
UKTrofeo,"Oh no! That’s no good. I’ve just phoned my UK dealer and on their system my car is still showing as week 52, but I guess there is a good chance mine is going to be further delayed as well. Did they give any reason for the delay?","December 16, 2022"
EDZ,"To be honest I think I have had every excuse in the book since ordering. This time Iv'e been told it's to do with the specialist colour finish which is done out of house, and it's them that are having problems. So you may still be lucky and get yours, will be interesting if you don't then I will know if what Iv'e been told is true or not. Good luck","December 16, 2022"
Modenacanada,Wow. I'm sorry to hear that. My dealer has called and told me the car arrives in his dealership next week.,"December 20, 2022"
UKTrofeo,"Just had an update from my dealer and surprise surprise my car is not going to arrive next week. Now pencilled in for week 3, ie mid Jan. Only slightly positive news is that it has moved a little along the production line. But honestly how long are these going to take to arrive? No Trofeos arriving in the UK this year.","December 21, 2022"
EDZ,I hope that pans out OK for you. Don't forget to let us know and post some pic's. Good luck.,"December 21, 2022"
EDZ,"Sorry to hear that, but kind of telling me what I was told may not be trueDid they give you any reason for your delay ?","December 21, 2022"
UKTrofeo,"No. They said they have no idea. Previously they told me that extra quality control checks are being made and cars being pulled of the production line to do this, slowing production down a lot.","December 21, 2022"
TF007,@EDZI am really very sorry about that. This takes away the excitement and it is simply untenable. The Prima series should be the first to be delivered. Hope it arrives shortly.,"December 22, 2022"
EDZ,Thanks. I trust you are still enjoying yours and all is going well.,"December 22, 2022"
TF007,@EDZYes I am still happy. Nothing negative to report so far.,"December 22, 2022"
UKTrofeo,So potentially some more positive news. My dealer contacted me to say that my car is now progressing quite quickly through the production line - the production line codes have now increased 3 times this week. And the date of delivery has remained at week 3 (ie mid January). The dealer is now pretty confident it will arrive then. We shall see.,"December 23, 2022"
EDZ,I wish you luck that it pans out. Unfortunately that has been said three time to me already and the last one being the fourth time that never happened was in writing (email). But I guess our cars will arrive eventually sometime in 2023.,"December 24, 2022"
UKTrofeo,Has your dealer given you the production codes for your car? Mine has moved from 20 to 50J,"December 24, 2022"
