,Comment,id,date,Pos,Neg,Neu
0,"Mercedes GLC, BMW X3 or Audi Q5... Which is best?","


@carwow


 
 @carwow
 








",6 months ago,0.318,0.0,0.682
1,Man I miss old carwow titles in which he properly mentioned the name and model of the car instead of this,"
 @resadrecebli2263
 ",6 months ago,0.0,0.078,0.922
2,If Mat and Yanni made a TV series the likes of Top Gear (the old one) - They'd be the most watched auto show in history. The template has already been made. We just want to watch you guys in adventure tours. Maybe add another character every episode.,"
 @iLiveOnFijiTime
 ",6 months ago,0.163,0.0,0.837
3,I love these old school carwow reviews probably more then the drag races,"
 @cannyscott
 ",5 months ago,0.257,0.132,0.611
4,"Mat u r a legend mate and the carwow team...when some other car reviewers are like flat reading the scripts( AUTOCAR INDIA) u guys  r expressive, fun and original. That's the only reason I'm recommending carwow for everybody who wants a car review video. Nice work champs and keep shining. LOVE FROM INDIA","
 @satheeshwaran4830
 ",6 months ago,0.312,0.0,0.688
5,Matt testing the creaky brakes with no sound and out of context is hilarious,"
 @luqmanomar9091
 ",6 months ago,0.16,0.13,0.71
6,"This is the only review I will ever need. Thank you Mat and carwow for this upload. Must say though, Mercedes have upped their game the past year with all their new cars and tech. I love that interior. Hopefully the GLA and GLB will get it as well.","
 @Presto_001
 ",6 months ago (edited),0.273,0.0,0.727
7,"While watching this video, I thought that someday Matt will leave his job in the carwow and we won't see him anymore. That's making me sad, because I really like the way Matt behave during filming these reviews. I don't know how old is he but he still simple, funny and cheerful like child on these videos. Thanks for your job and take care of yourself man)","
 @sabomvp
 ",6 months ago (edited),0.274,0.039,0.687
8,"GLC are great, had ours 6 years, feels very solid and secure","
 @tz6414
 ",6 months ago,0.52,0.0,0.48
9,"GLC is just a beauty to drive! I almost purchased one 2021 but got a Tesla model 3 performance.  
My mom had Audi q5 tdi few years back then went to a macan.. then back to q5. 
Love the audit but the new design of GLC is just amazing! I want it for my next car after the Tesla. Unless I can afford the model s. I just want a super comfy ride which the tesla falls short on with the 20 inch tires or is it the wheels. Idk but also wish it had air suspension! ","
 @raffiboi22
 ",4 months ago,0.242,0.015,0.743
10,"I like this car! Over the years I have found that BMW interior materials tend to mark, wrinkle and break down much sooner than similar M-B materials (especially BMW's thin/crappy seat upholstery and carpets). These items are always made better in Mercedes Benz autos. BMW durability is plainly lacking, even though when brand new things might feel a bit softer. Actually they are just that much easier to blemish and show wear. I believe this M-B GLC has no equal in this size/price range. It will likely last quite a bit longer, cost less to maintain, and gives you that Three Pointed Star CURB APPEAL that all BMW's lack. Propeller emblem? - A joke by comparison.","
 @ricatiman
 ",4 months ago,0.09,0.038,0.871
11,5:20 Now this is proper consumer advice. Never seen Mat so determined.,"
 @fuiers
 ",5 months ago,0.221,0.0,0.779
12,"This makes my bmw ix3 feeling prehistoric.  Going from a merc to a bmw, I miss quite a lot of features..including the pop out reversing camera and keyless entry...and lots more","
 @willielarsson9651
 ",5 months ago (edited),0.053,0.057,0.89
13,"Mat on fire today! Very funny! Nice car, but I would for sure chose a diesel without the hybrid system, if I had the money and have the full boot capacity.","
 @1corinthians15.1-4kjv
 ",6 months ago,0.23,0.051,0.719
14,Anytime I see Matt with a Stick in his hand.. I know a Mercedes is around the Corner ,"
 @topcarspecs
 ",6 months ago,0.0,0.0,1.0
15,"Looks very stylish, I like what they done with the lights, but I cannot resist to see a coupe version!","
 @nejcribic
 ",6 months ago,0.12,0.0,0.88
16,I love your reviews of these luxury cars Matt just brilliant thanks glc is now better than Audi and x3 massage seats option hooray for long journeys,"
 @auchen888dolly8
 ",3 months ago,0.449,0.0,0.551
17,"A very nice car. I am always afraid when i go on the manufacterer configurator . When i have choosen the engine and some options i am very far from the ""starting price"". I want to drive a nice BMW X3 before i get a clever idea of the feeling on the driver seat. Thank you MAT. Mat, i wish you the best Christmas as possible . Is it the first CHRISTMAS for your wonderful BABY  ?????","
 @philippestrickler3461
 ",6 months ago,0.317,0.0,0.683
18,A 2 litre diesel with 292 BHP... just let that sink in for a minute...  utterly insane!,"
 @robsawalker
 ",6 months ago,0.0,0.202,0.798
19,"In All My Years Of Watching Carwow, This Is My First Time Seeing Mat Pull Out A Manual. #Priceless

Big Shoutout To The Editor ","
 @therealgee2190
 ",6 months ago,0.0,0.0,1.0
20,Don’t we all love a daily dose of watching carwow?️,"


@Yashuop


 
 @Yashuop
 








",6 months ago,0.344,0.0,0.656
21,I can see the coupe version making headlines especially the AMG version. Insane design but I look forward to seeing the coupe,"
 @Anonymous-hd9yi
 ",6 months ago,0.0,0.089,0.911
22,"Well, I must say I really enjoy my AMG GLE 53 Coupe.  The look, of course.  But at 450 hp it was irresistible.  And  since 15 hp of that is ""hybrid"" I am totally eco-green!","
 @warrenpeece1726
 ",5 months ago,0.199,0.0,0.801
23,"New GLC is simply amazing car, definitely one I would buy immediately!","
 @alexandersb7858
 ",5 months ago,0.43,0.0,0.57
24,I observed the same brake creaking with the new gle and the new e class as well (I personally own both of them so yeah it can get pretty Annoying and scary at times),"
 @arnavm4368
 ",6 months ago,0.199,0.144,0.657
25,"I am 6’5” and have really enjoyed my 2017 AMG 43. Unfortunately, I have very little legroom left with my seat position and cannot fit baby seats or carry adults behind me. Suggest switching out the brake pads for ceramics immediately after brake pad light comes on.  You can avoid replacing the expensive rotors. The ceramic pads have very little brake dust. I have switched my service away from MB now that I am out of warranty and have saved a ton of cost. I would highly recommend as a used car if you have a non-MB mechanic available.","
 @really9025
 ",6 months ago,0.091,0.067,0.842
26,"GV70 and X3 are definitely more attractive than this and neither of them cheap out in the interior. Great review, can't wait to see the coupe update..","
 @jbyrd07
 ",6 months ago,0.294,0.0,0.706
27,"The new Mercedes GLC is such a practical, efficient and luxurious family SUV!","
 @okithdesilva129
 ",6 months ago,0.219,0.0,0.781
28,"I love how you exited through the window lol. Very nice interior and even though the drivers display and screen are better on a glc, the x3 is nicer on the interior and it looks better.","
 @PinguPenguin-nootnoot
 ",2 months ago,0.402,0.0,0.598
29,I love this new GLC. Great review too!,"
 @sankhdeepmitra5332
 ",6 months ago,0.632,0.0,0.368
30,We live in an era where 313 HP is only considered 'decent amount of performance' lol,"
 @user-wv9wu2we8r
 ",4 months ago,0.157,0.0,0.843
31,16:45 made my day Matt! Fits the description of RR drivers pretty well lmao,"
 @FandaReza
 ",6 months ago,0.463,0.0,0.537
32,"Matt, one thing you could start looking at: the new LED headlights are not required to have washers. Almost none of the new LED headlight cars come with headlight washers. Really annoyed after buying one. No requirement does not mean you should not include them at all.","
 @capmoq
 ",6 months ago,0.0,0.102,0.898
33,I think Mercedes PHEV game is top notch. Mixing diesel with electric motors with bigger batteries is a good shout. I'd still rather the higher powered 2 litre diesel with the bigger boot!,"
 @car_babble
 ",6 months ago,0.151,0.0,0.849
34,"The only question is: are this car's features subscription based? In the US and Canada, Mercedes won't let you use even basic things like heated seats unless you pay for them after a certain time period EVEN THOUGH you BOUGHT them with the car and all of the hardware is in. Do they do that in Europe as well?","
 @doctoremil2678
 ",6 months ago,0.113,0.022,0.865
35,This suv got so many improvements compared to the last gen model. But something more nice comes with more price tho,"
 @talos8107
 ",6 months ago,0.238,0.0,0.762
36,Awesome Vehicle. many improvements in this model. but I prefer the headlamp of the previous model.,"
 @ficomobile1
 ",6 months ago,0.244,0.0,0.756
37,"I think I prefer the Lexus NX450+ Takumi. Its £10k cheaper and has a much better reliability record. Problem with Mercedes is that they grossly exaggerate range numbers. They claim my E300e has a range of 31 miles, lucky if you get 20! Mercedes service has also gone down the pan over the past couple of years. Ive had three from new but cant bring myself to buy a third. My advice is look around. There's some cracking cars out there that aunt Mercedes.","
 @leighgrant7051
 ",4 months ago,0.047,0.059,0.894
38,I'm neither a big Mercrdes nor an SUV fan. But the GLC SUV is one of my favorite cars sincr first generation. Very beautiful design. Especially the GLC43,"
 @derBiesel
 ",6 months ago,0.278,0.042,0.68
39,This thing looks great! Mercedes is making some good stuff these days. I still get a Windows Media Player vibe from the infotainment system theme.,"
 @Jezee213
 ",6 months ago,0.258,0.0,0.742
40,Matt only appears to like Porche and Bmw at the moment. He recommends the Porche Macan. A car that is at the top of the most unreliable cars list for the extended warranties survey in the UK. I am sure loads of people own them and have no problems. Many people have tech and electrical issues with these cars as many other German Suvs made by Audi and BMW. If Mercedes bring out a fast Amg perhaps they can race it against a 10000 bhp dragster that does 3.9 seconds on the quarter and say it is slow.,"
 @danielshinerock1526
 ",6 months ago,0.084,0.048,0.868
41,The exterior looks really good and clean,"
 @zak__21
 ",5 months ago,0.552,0.0,0.448
42,"The Diesel plug in Hybrid will be the best GLC to buy , I will go with it . - efficiency with power","
 @bs727
 ",6 months ago,0.283,0.0,0.717
43,It would be most helpful if you include the price of the current trim you're reviewing️,"
 @footballhighlights2614
 ",6 months ago,0.171,0.0,0.829
44,"Very crazy ride, wish it was there ","
 @therick999
 ",6 months ago,0.278,0.253,0.469
45,"I love how you call 130 km range from a hybrid ""decent"" Its best in class by over 50 km!!!!","
 @Captain_Coleslaw
 ",6 months ago,0.374,0.0,0.626
46,I drove a GLC200 recently.  It had poor ride comfort and could not handle rough roads at all.,"
 @murraysampson2501
 ",3 months ago,0.128,0.158,0.714
47,I think they over did the center console. I like how it looks its just has too much touchsceen and less buttons,"
 @koropyitis.4333
 ",6 months ago,0.116,0.0,0.884
48,MATT! Loving the reviews at the moment keep the laughs going!,"
 @patricktownsend6272
 ",5 months ago,0.461,0.0,0.539
49,Awesome! Absolutely love the new one,"
 @HAUTLAW
 ",6 months ago,0.69,0.0,0.31
50,"Mat is crazy ... ""T-Rex arms... Roaaar!"" I really enjoy your reviews mate! Keep up the good work ","
 @mo-g827
 ",6 months ago (edited),0.298,0.103,0.599
51,"I just looked on the mercedes website, there is no GLC 300 de so the most powerful model is actually the petrol hybrid with 335hp but the way Mat lists it sounds like it's a diesel hybrid. There also isn't any plug in hybrid variant that I can see listed.","
 @rohanw5066
 ",6 months ago (edited),0.106,0.031,0.862
52,It would be great if u can mention the factory warranty since this is important for the decision.,"
 @rogerreizk8640
 ",5 months ago,0.282,0.0,0.718
53,"Merry Christmas Matt, all the best to you, Car WOW and your loved ones. Keep going :-) We are here waiting.","
 @AlexanderMarck
 ",6 months ago,0.535,0.0,0.465
54,£70k for range topping version? You could get the EQC for that. Not sure I'm convinced by either and would plonk for the GLE as that's only a few extra thousand...,"
 @MartinMacGill
 ",6 months ago,0.0,0.131,0.869
55,"Seems like MB initial pric, operating expense, excessive options, reliability and longevity limit the value of this vehicle vs. Japan's best competitors.","
 @buzzpedrotti5401
 ",4 months ago,0.324,0.0,0.676
56,"The brake creaking bit had me in stitches, damm he's good ","
 @Jamie-Evo
 ",6 months ago,0.225,0.0,0.775
57,Mat loves when he finally gets to wear his Burberry jacket,"
 @baileycorbett2512
 ",6 months ago,0.27,0.0,0.73
58,"Practical, efficient and luxurious.","
 @DoubleDeckerAnton
 ",6 months ago,0.483,0.0,0.517
59,360 live camera should come standard in every car (and not to mention the camera rearview mirror),"
 @RJR164
 ",6 months ago,0.0,0.0,1.0
60,I've seen a couple of the older videos. But this particular video set me over the top. I had to stop the video like it go to the channel subscribe turn on all notifications. Dude you're hilarious Thanks for the editing team. Videographer/ Camera person. You guys had me laughing. I do the same thing with the brakes. I have the worst GLC 2019. The stereo sucks! When you have had the burmaster The stock GLC is good enough for podcasts.  I want the hybrid so bad. Plus it's a plugin ,"
 @hyperverbal
 ",5 months ago,0.198,0.156,0.645
