,Comment,id,date,Pos,Neg,Neu
0,"If this pinned comment gets 1000 likes, I won't leave the channel :) -Rory","


@AutoTraderTV


 
 @AutoTraderTV
 








",11 months ago,0.41,0.0,0.59
1,"Hope Rory ain't going nowhere, he's the best car reviewer I've met so far!","
 @MrMegaMax
 ",11 months ago,0.156,0.197,0.647
2,Honestly I wasn’t a fan of RR at Top Gear but the RR in AutoTrader is amazing and he better not go anywhere as he got me to subscribe to this channel ,"
 @molebogengwechoemang1268
 ",11 months ago,0.361,0.0,0.639
3,"Smart move adding a presenter. We can’t rely on Rory’s old Bentley getting him to work, can we? :)","
 @epbrown01
 ",11 months ago,0.263,0.0,0.737
4,"Rory is the best reviewer ever, he could review a review of a review of a review and I'd watch it about seven times easy, he is that good","
 @jameelomar8513
 ",11 months ago,0.303,0.0,0.697
5,"She’s great, but like many others, I tune in for a Rory Reid presentation. Hope this isn’t a gimmick for him moving on ","
 @sambankole9543
 ",11 months ago,0.362,0.0,0.638
6,"In my view, Rory You are currently the best auto show presenter. Do not leave nor add another presenter. When the recipe is  % good. There is no need to change it for that change will never be better!!! So please stay and kept it the usual!!! Thanks","
 @ibsinfrastructureltd.4490
 ",11 months ago,0.251,0.077,0.672
7,I like how Rory's treating her.  Their chemistry and her enthusiasm make it easier to embrace the fact that it's not just Rory anymore. She seems competent.,"
 @mfundoh8148
 ",11 months ago (edited),0.379,0.0,0.621
8,"I don't know if you want detailed feedback on this new format or not but....

I liked her, good energy, good presentation style. Not yet jaded to lower spec cars from years of hyper performance vehicles etc. Overall I'd be happy with Alex as a new presenter ️ however, it did feel like the content was a bit dumbed down to what Rory's videos are, maybe more aimed at buyers who don't have a lot of auto knowledge? Eg the description of the wheels and brakes were very simplistic, Rory would normally state the tyre size and profile and the diameter of brakes etc etc. if you're planning to use Alex as for lower tier car marketing style videos, it'll work I reckon. But I assume most of us watch the performance car type videos WANTING to know the small details. And the lack of any specifics other than 'its good and it's fast' wouldn't cut it for me in future videos to be honest.","
 @snowandlightsmusic
 ",11 months ago,0.131,0.055,0.815
9,She's great! Must've been exhausting for Rory to do all the reviews by himself. Glad we'll have more quality content and variety going forward!,"
 @sebastiansuarez9883
 ",11 months ago,0.246,0.08,0.673
10,"After watching and reading reviews all I can say is the internet never disappoints. Something people fail to realise is that Rome wasn't built in a day. Rory is good at presenting 'cos he's been at it for a long time. As far as I'm concerned Alex did a wonderful job and will get better with time. 
Reminds me of when Doug reviewed a car for the second time cos he felt the first time (which was years ago) he wasn't as thorough. 
People get better with time as long as they stick to it.","
 @juxy
 ",11 months ago,0.143,0.034,0.823
11,"Personally I think these 2 work really well together, one of the most enjoyable car videos I’ve watched in ages","
 @dwdrum11
 ",4 months ago,0.259,0.0,0.741
12,"I’m happy to see the channel grow as long as Rory isn’t going anywhere. He is the reason I subscribed and don’t watch Top Gear much anymore. 

Good job Alexander too, I think you add that diversity that will add more value to an already great channel.","
 @Shungu
 ",11 months ago,0.275,0.0,0.725
13,"Alexandra did a great review on this Porsche Macan GTS. With that said, I hope Rory is not going anywhere. His reviews are one of the main reasons why I subscribed to Auto Trader in the first place.","
 @SDFcommander
 ",11 months ago,0.175,0.0,0.825
14,"Rory is the best reviewer out here.  He deserves so much more, I hope you are not phasing him out.","
 @arionseifullah6224
 ",11 months ago,0.311,0.0,0.689
15,"I really like how these two presenters work together and compliment one another.  Its a winning combination.  Among other things, Alexandra brings a perspective can attract women to the channel.  She also presents in a language that men appreciate. 

Rory?  He is in rare company.  Among other things, he knows he has a broad audience.  Not all have the means to purchase a McLaren or Bentley.  There are those who simply want an electric SUV that is suitable for young family.  These souls may want their daily to be a Lotus, but they most consider things like space for baby car seat and stroller. What does Rory do?  He reviews both.","
 @ibrahimmoss
 ",11 months ago,0.144,0.0,0.856
16,I love how Rori ended the review in the first 10 seconds and the target market for this car continued with it,"
 @njabulosibiya6578
 ",11 months ago,0.174,0.0,0.826
17,"One of the best intros to a car review I've seen, great sense of humour guys. Keep up the great work!","
 @craigmccarthy8354
 ",11 months ago,0.497,0.0,0.503
18,"Thoroughly enjoyed the review (as always), LOVE the new alignment with Alexandra, complimenting the Rory Reid swag and astuteness in review of this vehicle. Good energy, great addition, GOOD (great) move.","
 @bradbootstaylor9423
 ",11 months ago,0.506,0.0,0.494
19,Alexandra is a great addition to the team.  Looking forward to you both opining about vehicles going forward.  And Rori as always is a gem!  So is that Macan...,"
 @comaca
 ",11 months ago,0.145,0.0,0.855
20,Great intro! The car and Alex. If you could ever so slightly incorporate reviews for vehicles that have the 25 - 35 year old female demographic for their target market and have Alex take the lead on those would work. She's got a vibe that seems to resonate with that demographic.,"
 @MsVoski
 ",10 months ago,0.084,0.0,0.916
21,I believe the strongest competitor for the GTS is its less powerful sibling the Macan S. It is basically as fast as you need with the same engine only slightly detuned. And quite a bit cheaper too,"
 @mesaux5583
 ",11 months ago,0.141,0.0,0.859
22,We love this channel because of Rory!!!,"
 @malekbayoun1025
 ",11 months ago,0.458,0.0,0.542
23,"Clearly, with Alex onboard, this channel will continue to go from strength to strength. Here's to the UK's joint best motor channel x","
 @CKGoldiing
 ",11 months ago,0.425,0.0,0.575
24,"One of the most ""timeless"" car on the market. Of course the more expensive ... but made and build in an exceptional way for a serial producion. For me one of the best SUV of middle class, for image, quality and performance (on the road). A plus the PASM ...","
 @elios.503
 ",10 months ago,0.11,0.0,0.89
25,Rory makes us feel that all new cars have been delivered from another planet and has that surprise element and WOW factor. No one can replace him for sure. Will be back when Rory is back.,"
 @maheshmnair7990
 ",11 months ago,0.207,0.051,0.742
26,"Macan's are great, but the rear end on the 2nd gen's compared to the 1st gen's no comparison, the first gen has such a nice rear end.","
 @johnz8112
 ",11 months ago,0.195,0.087,0.718
27,Alex is a wonderful presenter! Rory is for the enthusiasts but Alex is lovely to watch and listen to. Coin toss for me.,"
 @mor3569
 ",7 months ago,0.334,0.0,0.666
28,@Rory hope you don’t leave. I like the way you present the channel.  I don’t longer care about car speed starts. Specifically after most of EVs do the same at cheaper price.,"
 @gonzaloleviatanh
 ",11 months ago,0.24,0.034,0.726
29,"Really shows how the cinematography synced with RR so brilliantly. 
Nice start from the new presenter. She’ll develop well with RR’s tutelage","
 @Kanine86
 ",11 months ago,0.351,0.0,0.649
30,"I think that the GTS cars always represent not only a great value for money over the S models and a half way house between the S and the Turbo but they look lovely and the interiors are nice. To be fair that’s why I have a GTS, not a Macan, mind you.","
 @ACKWV
 ",10 months ago,0.213,0.066,0.721
31,"The Macan GTS is what you upgrade to from a Golf R after a big salary raise, it's so low and has the dimensions of a bulky hot hatch that it's essentially just that. $100K USD is the price for a well-optioned one this side of the pond and frankly there are other things I'd get. But used? A 3 year old well-optioned one for ~$75K USD is a lot more appealing. Can't wait to see what the electric variant can do soon!","
 @BINGFRYSRDUN
 ",11 months ago,0.0,0.028,0.972
32,"Well, I like that Alex and Rory are both staying! It's refreshing to have different points of view :) I just have one petition, can Rory be the one that reviews the Toyota GR 86?  (Because that would be my favorite presenter with my favorite car! )","
 @Bmontepeque11
 ",11 months ago (edited),0.259,0.047,0.694
33,I like Alex as a new presenter.  Looking forward to seeing more reviews from her.,"
 @Jc_true
 ",11 months ago,0.172,0.0,0.828
34,I’m loving this episode love to see YouTubers  collaborations I think it exposed the channel to others ,"
 @Skiridr22
 ",11 months ago,0.362,0.058,0.58
