Name,Comment,Date
Vee12V,It'll certainly make the roads more interesting but Im afraid I can't see people getting out of their Macans for it.,"April 02, 2022"
Gareth9702,De gustibus non disputandum est.I wish to dispute that.,"April 02, 2022"
DeltaEvo2,I wish to dispute that.Nice...,"April 02, 2022"
JPOnstwedder,A Maserati should be elegant and stylish. This thing is frumpy and even by today’s low standards the interior looks a total mess. Pass.,"April 02, 2022"
southerndriver,Until we see the pricing any comparison with the Macan is a difficult call. The Macan is a brilliant vehicle and will be tough for the Maserati to come close but as I own one I'm biased.From a financial point of view I would expect the Macan to walk all over the Grecale when comparing resale values.Edited by southerndriver on Saturday 2nd April 16:07,"April 02, 2022"
tim-jxv5n,"I cant see the point in it. I cant see the point in any small SUV though when a mid sized car like a 4gc or a5 sportback does the same jobWeve got a q7 for the only reason that it's got 7 seats and a huge boot for my 3 kids, associates family and friends and my 6 stone dogIf I still had 2 kids I wouldn't be driving an SUV, our old 4gc and a5 sportback never struggled for space 3 years agoI'm desperate for a low slung 2 seat sports car by the way, just cant afford one because I've got 3 kids!!","April 02, 2022"
anonymous-user,"A four pot soft roader Maserati. What wonderful treats will they find for car enthusiasts next, perhaps a Facel Vega that's a rebadged Chevrolet, or a 3 pot diesel Ford Kuga badged as a GT40?This car has nothing going for it except a badge, a badge which it devalues by existing.","April 02, 2022"
noble12345,Who is the designer?Someone who wanted to make Miss Piggy and Jabba the Hutts lovechild by the looks of it and that interior is so dated.The MC20 thing looks a bit st too tbh the interior looks cheap and those covered back lights are awfull esp when dirty.Shame as i wanted Maserati to do well.,"April 02, 2022"
DeltaEvo2,It’s pretty hideous to me. The Macan still has it beat for looks in my opinion.De gustibus non disputandum est.,"April 02, 2022"
Nicolas Lazar,"So they acknowledge having issues with the market positioning of the Levante. But instead of working on it and try to move it up, they offer a new one - lower. Makes total sense. Btw, the Greyscale looks awful, proportions are totally out of whack.Edited by Nicolas Lazar on Saturday 2nd April 20:10","April 02, 2022"
Pontus88,"It's fairly clear that you can obtain the majority of the pro's of a SUV from an estate without some of the cons.It would be refreshing if a company such as Maserati could produce a type of spacious 'estate like car', or something along that theme. Losing the bulk, the 22inch plus wheels, the blobby brick profile, gaping plastic grilles and largely redundant 4wd systems along the way. Maybe the designers and engineers could be asked to be innovative? Rather than follow the market, they might create a new market, they might lead rather than follow. Porsche got there early, and fair play to them for seeing the gap. Now we are seeing multiple marks eyeing up the returns and pile in (better late than never?) to this increasingly saturated market. Hopefully we'll see the inevitable slow death of this segment soon, but we need another innovative company to make the first move...","April 02, 2022"
Mikebentley,Spleen said:I'm more intrigued by the Land Rover comment!I reckon Defender 130. Seen several out testing on M40/42.,"April 02, 2022"
aestivator,"""King Canute's ill-fated order for a rising tide to stop was directed to the North Sea; almost exactly a thousand years later he'd likely be equally frustrated...""[nasal voice] Actually, Canute was trying to prove to his obsequious courtiers that even a mighty king such as he was a mere mortal, and did not have power over the tide.Hideous car by the way, and I'm usually more of a fan of SUVs than most. Reminiscent of the mk1 Cayenne from some angles, and not in a good way.Edited by aestivator on Saturday 2nd April 22:08","April 02, 2022"
BVB,"For an SUV, that is actually pretty good looking. Nice proportions.","April 02, 2022"
biggbn,DeltaEvo2 said:Who is the designer?It didn't have one. Awful looking thing.,"April 02, 2022"
iphonedyou,"It's fairly clear that you can obtain the majority of the pro's of a SUV from an estate without some of the cons.It would be refreshing if a company such as Maserati could produce a type of spacious 'estate like car', or something along that theme. Losing the bulk, the 22inch plus wheels, the blobby brick profile, gaping plastic grilles and largely redundant 4wd systems along the way. Maybe the designers and engineers could be asked to be innovative? Rather than follow the market, they might create a new market, they might lead rather than follow. Porsche got there early, and fair play to them for seeing the gap. Now we are seeing multiple marks eyeing up the returns and pile in (better late than never?) to this increasingly saturated market. Hopefully we'll see the inevitable slow death of this segment soon, but we need another innovative company to make the first move...Eh? You so hate SUVs that you wish to see the death of the segment?What an absolutely mental viewpoint.","April 02, 2022"
Wills2,"I like it the 530hp anyway, interior looks nice, wouldn't have yellow, I'd take it a lovely shade of grey ones those like BMWs Dravit grey that changes hue depending on the light conditions and pops and shimmers in direct sunshine with gold/bronze flecks.","April 02, 2022"
P4ROT,"Face only a mother could love. But I'm not the target market, who, will probably buy many of them....","April 02, 2022"
Callum43,"Another new SUV launch for a vehicle that’ll have zero impact in almost any market . The name means Greek Wind apparently but suggest any owners steer clear of Cornwall as , I’d bet , it’ll be called The Grockell in honour of the county’s appreciation of incomers who’ll be the ones driving them . Apologies for inflicting my poor attempt at humour on those who take these things more seriously.","April 02, 2022"
DeltaEvo2,Who is the designer?,"April 02, 2022"
Nickbrapp,"The front is a puma, The back is a skoda scala, the steering wheel is out of a MG ZS","April 02, 2022"
maddog993,"Not really much of a step - much less a leap- forward is it? Inoffensive, even attractive styling, but put it alongside something like the Eletre & it seems about ten years behind the curve.","April 02, 2022"
TCS1,Yazza54 said:I don't like its faceStelvio over this for sure.It looks an awful lot like the Ford Puma,"April 02, 2022"
Mysstree,A Maserati dealer though will more likely take a shafting than the one you would have to take from a Porsche dealer if you wish to buy a car.,"April 02, 2022"
VS02,It’s pretty hideous to me. The Macan still has it beat for looks in my opinion.,"April 02, 2022"
Crumpet,I quite like that. Would still take an F-Pace SVR over it - that will likely be much cheaper as well - but would certainly choose it before any of the Germans based on engine alone.,"April 02, 2022"
Kipsrs,"Porsche people are exactly that, so will usually buy a Porsche no matter what, however, there are also Maserati fans that now have an option which is equally as good to look at as a Macan, so, who would buy what? Time will tell as will sales figures.","April 02, 2022"
big_rob_sydney,"ICE = StelvioEV = EletreIn saying that, I'm looking forward to the next few years, because I want to see Lexus' next gen offerings. In the EV space, which, like it or not, that's where we're all going, I think they'll be bigger players than they are now. Quality will be key, given that the emotiveness around combustion engines will disappear. And no one does quality like Lexus. They also offer a lot of things for free that other companies charge like wounded bulls for.","April 02, 2022"
ducnick,"With these sorts of cars I wish the reviewers would essentially ignore the halo model bought by the 1%.What we seem to have is a 2 litre, fairly dull small suv just like all the other 2l dull SUV’s. I can’t imagine the vw Tiguan or Audi Q5 /bmw x3/Merc /jag etc etc is any better or worse when it comes to the dull powertrain. They are all dull because they are boring 2 litre four bangers in a brick outhouse.So move onto the other differentiating factors.Is the interior better or worse than the competition? Well it sounds pretty infuriating to me from the review. Certainly no match for proper door handles and buttons in a bmw, but probably about average for the market sector.How about the exterior styling? It looks to me like a big ford kuga with some Maserati badges. The whole thing looks very transverse front wheel drive with a cab forward design. Probably good for interior space, but it’s not a good looker to me.Price? I bet that will be competitive.Dealer experience/reliability … it’s a maserati, when I had one you wouldn’t venture near Britains only dealer, but I’m sure they must have improved now. In the PCP world this probably isn’t a factor.It’s going to be a very hard sell in a market dominated by German brands with wide dealer networks and big advertising budgets. I personally can’t see it doing well in the U.K.","April 02, 2022"
heisthegaffer,I think these are fantastic... Really hope maserati have deservedly good success with them and the MC20.,"April 02, 2022"
DeltaEvo2,"The design is fine, the majority of people who buy this type of car don't really buy it for its looks, more for the interior and how many displays it's got. Never understood that. Out of all the SUVs I would probably get a Stelvio Quadrifoglio or a Levante Trofeo if I had the money. People talking about the headlights, the very first time I saw them designed like that were on the Fiat Punto and Maserati 3200, both designed by Giugiaro and that is decades before the Puma or Macan.","April 02, 2022"
Joeogilvie,"I traded from a Macan to a new StelvioQF last summer - there’s no question as to the better interior quality and sense of solidity in the Macan, but the StelvioQF masks it’s weight far better, and even compared to the more sporty cars in my garage, is fun to drive.The Macan has extremely high residuals, and probably presents the most economic option, but the standard kit on a StelvioQF is impressive and you don’t have to spend big on options - that’s not always taken into account when Macan residuals are being discussed.I considered a Levante, but it was too dated and dynamically weak compared to the StelvioQF, though it’s hard not to find the brand appealing. If the Grecale had been available when I bought the StelvioQF last year, I’d definitely have considered it, but I suspect it would have to have been substantially better dynamically to justify the premium over the StelvioQF.","April 02, 2022"
DeltaEvo2,"Stelvio 200, 280 (quick enough) and 510 but for the Grecale 300 then 325? Strange...","April 02, 2022"
Bobby Lee,Another obese yellow blob of plastic! Hooray!,"April 02, 2022"
Veloce144,"It'll certainly make the roads more interesting but Im afraid I can't see people getting out of their Macans for it.I recently ordered a Macan S. So 380bhp. If this had been released slightly earlier, I may have held off to see one in the flesh, and take a test drive. Apart form the Ford Puma headlights, I like the look of it.However, why such a huge gap in power between versions? 300bhp, 325bhp, then 530bhp. Surely there was a better option for 300, 400, then 530?Follows the platform its based on, I have never understood why the stelvio went from: 200 to 276 to 510, the middle seems lacking and again with the Grecale","April 02, 2022"
Yazza54,I don't like its faceStelvio over this for sure.,"April 02, 2022"
Spleen,I'm more intrigued by the Land Rover comment!,"April 02, 2022"
Wab1974uk,"Vee12V said:It'll certainly make the roads more interesting but Im afraid I can't see people getting out of their Macans for it.I recently ordered a Macan S. So 380bhp. If this had been released slightly earlier, I may have held off to see one in the flesh, and take a test drive. Apart form the Ford Puma headlights, I like the look of it.However, why such a huge gap in power between versions? 300bhp, 325bhp, then 530bhp. Surely there was a better option for 300, 400, then 530?","April 02, 2022"
