Name,Comment,Date
nuttywobbler,"It looks dated already, like something released in 2012.","March 22, 2022"
Milemuncher,Could it look any more bland?,"March 22, 2022"
Deerfoot,Headlights borrowed from the Ford Puma?,"March 22, 2022"
pb8g09,Like a cross between an Alfa Romeo Giullietta and the current model Ford Puma.I’m guessing the pricing will make this a niche option like all previous Maserati,"March 22, 2022"
Dohnut,I like the analouge style digital clock.That's about it.,"March 22, 2022"
2xChevrons,"Is it just me or is this barely an SUV? It looks more like a large hatchback.This seems to be the logical conclusion of the modern desire for everthing to be an SUV or CUV - manufacturers are pruning their offerings of estates, saloons and hatchbacks...but then making their SUVS/CUVs lower-riding and less bulky, so we're ending up back at hatchbacks and estates, but now they have slightly bulkier bodywork and some black plastic on their nether regions.","March 22, 2022"
Andy83n,If a Fiat Punto bred with an E-Pace,"March 22, 2022"
Cascade360,An ugly SUV (or is it more a bloated hatchback?) with a 2.0l 4 cyl mild hybrid engine. Not very Maserati is it?,"March 22, 2022"
Cobracc,Hideous...!,"March 22, 2022"
j90gta,"How sad. Can't see anyone buying this on looks alone. Just a generic fat and bloated modern ""design"".","March 22, 2022"
MDL111,That looks like it has been lowered to standard car ride height level,"March 22, 2022"
sie10110,So is the Corsa Drive Mode designed for pulling handbrake turns outside McDonalds?,"March 22, 2022"
Tony Del Monte,"It looks just about OK, although a bit bland, especially next to some more daring designs out there (e.g. Hyundai Tucson). And what about the car's clearance? Will it go over a road bump withouth scraping its bottom?","March 22, 2022"
Killer2005,Nice interior but the rest is bland.,"March 22, 2022"
swisstoni,Even IT looks disappointed.,"March 22, 2022"
abzmike,"Hope it looks more exciting in the metal... Maybe better in red or something, but is terribly dull as it is in the pictures here.","March 22, 2022"
smilo996,Odd colours. SUV names are getting very silly. In keeping with the cars and their drivers then.,"March 22, 2022"
Summit_Detailing,"Gosh that looks awfully boring/bland!Looks like a Stelvio from the side & inside, rear looks ok with a hint of F-pace and Tiguan, front end looks like a cross between a Puma, E-pace and some Chinese knockoff.Just another generic, remove the badges and it could be from any brand SUV then","March 22, 2022"
napoleondynamite,"2xChevrons said:Is it just me or is this barely an SUV? It looks more like a large hatchback.This seems to be the logical conclusion of the modern desire for everthing to be an SUV or CUV - manufacturers are pruning their offerings of estates, saloons and hatchbacks...but then making their SUVS/CUVs lower-riding and less bulky, so we're ending up back at hatchbacks and estates, but now they have slightly bulkier bodywork and some black plastic on their nether regions.That's exactly what I thought - what does this offer over a saloon with an equivalent footprint?? SUVs aren't my thing generally but I at least get that some people like the high up stance. This just looks like a fat hatchback. Reminds me of the 5 series GT thing. It's horrid!","March 22, 2022"
DanL,"2xChevrons said:Is it just me or is this barely an SUV? It looks more like a large hatchback.Not just you, came here to post the same thing…","March 22, 2022"
Fetchez la vache,Yellow car on a yellow background screams of the Radio 1 Summer Roadshow for some reason... [shrug],"March 22, 2022"
unpc,I have no idea what the Maserati brand stands for anymore. It's a lost cause IMO. Let it die gracefully...,"March 22, 2022"
Roger Irrelevant,"DanL said:2xChevrons said:Is it just me or is this barely an SUV? It looks more like a large hatchback.Not just you, came here to post the same thing…And me! I guess we'll see more of this sort of thing as EVs - for which high ground clearance isn't great due to the aero drawbacks it brings - become more popular.The market: ""I don't want an estate, too old fashioned""Manufacturers: ""Ah but this isn't an estate, it's a lowered (therefore sporty), long wheelbase (therefore luxury), SUV""The market: ""I love SUVs! Take my money!""","March 22, 2022"
ducnick,"I hope this story wasn't sponsored by Maserati. If so, they should be asking for their money back. The order of photos is critical with car reviews. Come on, to post this image second, its going to stop people reading and close their browsers in disgust.Badly proportioned overly fussy, generic bland large hatchback. It's hideous, what were they thinking?","March 22, 2022"
cib24,"Huh, I think it looks pretty nice. Much less like an SUV and more like a large hatchback which I think works well. I like the interior and the electric model looks alright.I will hold judgement until I see one in person because the Levante never photographed well but in person it looks absolutely ace.Edited by cib24 on Tuesday 22 March 14:22","March 22, 2022"
Armagreggon,"Absolutely hideous travesty. Entirely bland and generic.The exterior looks like a bloated Fiat Bravo from 2012 and the interior is about as uninspiring as it gets.If the intention was to trash the Maserati name, well done, they've nailed it","March 22, 2022"
ghost83,I really like the look of that,"March 22, 2022"
wpa1975,Looks like a mish mash of various other SUV's,"March 22, 2022"
DevonPaul,"swisstoni said:Even IT looks disappointed.That's the word I was looking for. I couldn't work out if it looked surprised or gormless, but you can bet if it was a dog it would spend all day licking the window.[edit]My wife has just hit the nail on the head, she says from the front it looks like Toothless the dragon.Edited by DevonPaul on Tuesday 22 March 14:24","March 22, 2022"
cookie1600,"As all the above comments, I'm with bland/plain/uninspiring,However, I'm amused to see they've named it something that sounds like Grockle, i.e. ""tourists or people recently relocated from elsewhere"". A small and bland step up from the common-place SUV for our touristy chums?","March 22, 2022"
cib24,"Armagreggon said:Absolutely hideous travesty. Entirely bland and generic.The exterior looks like a bloated Fiat Bravo from 2012 and the interior is about as uninspiring as it gets.If the intention was to trash the Maserati name, well done, they've nailed itTo me the interior looks like something that will wear miles very well, unlike my Range Rover or Audi which looks tired and st within 5,000 miles due to the excessive use of piano black and shiny metal-like or metal interior trim that scratches easy.","March 22, 2022"
Funkstar De Luxe,"They are really trying to own those fender vents, aren't they?","March 22, 2022"
Vee12V,"Sure, it's a bit predictable but it isn't any more bland than a Macan or any other SUV in its class.","March 22, 2022"
ettore,"I'm with the crowd on this one. Almost wholly generic and very bland - surely it cant actually be a new design, perhaps its one of the many cancelled Alfa/Maser/Lancia plans we get every other year - found the plans from 2012 in the bottom drawer?","March 22, 2022"
Harry_523,"napoleondynamite said:That's exactly what I thought - what does this offer over a saloon with an equivalent footprint??A bigger boot.This is either a Ghibli Estate, or a Stelvio in a yellow suit. Either way, seems a bit pointless so will likely sell like hotcakes.","March 22, 2022"
Harry_523,"Its 170mm taller than a 5 series too, so not very hatchback like at all really....","March 22, 2022"
dpop,Bizarre press photos making it look like a slammed big hatchback as others have pointed out; when its dimensions are actually very similar to an Alfa Romeo Stelvio,"March 22, 2022"
Yarlsberg,Dear oh dear…,"March 22, 2022"
NGK210,"I really want to like it because a) it’s a Maser and b) it’s not a Macan.But WTF?It looks like a lardy, ill-proportioned, fugly hot-hatch concept from a naive Chinese startup – which has no previous experience in the automotive sector.Whatever happened to Italian style?","March 22, 2022"
esotericar,"nuttywobbler said:It looks dated already, like something released in 2012.My thoughts exactly. Looks a decade old at launch.Suspect it was subject to extensive delays and they couldn't afford to refresh the styling. Oh dear.","March 22, 2022"
