,Comment,id,date,Pos,Neg,Neu
0,"The Porsche Macan Turbo may start from £69,000, but can you name a better SUV for less £££?! We'll wait...","


@carwow


 
 @carwow
 








",2 years ago,0.187,0.0,0.813
1,I Honestly Watch these videos because of Matt and his sense of humour !,"
 @ritwik10
 ",2 years ago,0.39,0.0,0.61
2,"The Macan changed the way i looked at SUV's when it comes to the driving experience. Definitely the best SUV out there when it comes to being fun to drive. Also, Matt keep up the great work.","
 @Paresh256
 ",2 years ago,0.309,0.0,0.691
3,"Great videos, Always fun to watch! , could you also provide a review on the premium/standard sound systems as well and how they fare against their competitors.","
 @Gggggg172eyeyeurhuwue
 ",2 years ago,0.308,0.0,0.692
4,"Let's be honest. The fewest of us watch this video because they are really interested in buying this particular car. But it's just nice to watch. Mat, you're doing a great job!","
 @mashallaeinfachderhubsche813
 ",2 years ago,0.338,0.0,0.662
5,"Mat, cheers mate. you are by far one of the most, if not THE most (on my list of reviewers) entertaining reviewer. Keep gettin' it, man!","
 @krisbower8816
 ",2 years ago,0.208,0.0,0.792
6,"Matt is the best automotive reviewer I see in youtube.
His sense of humour, genuine review about the automobiles etc.","
 @boneythomas2736
 ",2 years ago,0.3,0.0,0.7
7,Credit to Matt and his team for their consistency uploading videos. Cheers mate,"
 @okuhlereeds4216
 ",2 years ago,0.341,0.0,0.659
8,"I took delivery of one on 1st March 2020, replacing a GLC 63S. Unfortunatel lockdown means I'm not driving it as much as I'd like. However, it's a fantastic car and I love it! It might start at £69k but options are easy to add, plus there's the UK's rather steep first registration fees too! So mine cost £79k and I was quite modest with the spec!!","
 @ivangalea8628
 ",2 years ago,0.167,0.0,0.833
9,"Owned this model for 9 months (having had a 996 C4 previously). It’s quick, spacious for two teenagers and on a long run will return 28mpg. Loads of tech and fun to drive.","
 @mikeowen1819
 ",2 years ago,0.102,0.0,0.898
10,"Would like to see a comparison between this, the X3M (orX4M) and the AMG GLC 63...  theMacan always won in the past, but I feel the other German brands have made huge strides lately.","
 @aaronsmith2929
 ",2 years ago,0.196,0.0,0.804
11,"It would be great if you could talk about the reliability and maintenance of the car. Like would it be more expensive to maintain or less expensive, compared to its rivals?","
 @rupakpatel8625
 ",2 years ago,0.185,0.0,0.815
12,"I just want to say that as a recent subscriber from the US, I watch this channel more for Mat than the overpriced or unavailable cars. However, I do like the reviews immensely","
 @761jared
 ",2 years ago,0.123,0.0,0.877
13,"Porsche really seems to have their launch control dialled in. Kudos for that!
But I’d still rather have a sports car and not an suv (generally)","
 @Showmetheevidence-
 ",2 years ago,0.092,0.0,0.908
14,"I can't help but love the engine sound of this car, the engine sound is on another league","
 @omarzubaidi2166
 ",2 years ago,0.0,0.292,0.708
