Username,Comment
Hoggy,"I'm going to stop reading this forum, there are a lot of Q5's with problems if you read all the topics.

When you consider how few Q5's are out there, to have so many problems mentioned is a bit worrying.

I am amazed how many members seem to take their problems so calmly, wondering if they should take it back to the dealers or not. The answer is YES, and make a song and dance about it to ensure that Audi know about the problems and get them sorted at the factory.

Just remember that the Audi Technicians have a really tough job now, these cars are so complicated, so go easy on these guys!

If everybody just excepts that they all do it mentality - things will never get sorted!

Any thoughts?

Hoggy"
windmill,"Hoggy said:



I'm going to stop reading this forum, there are a lot of Q5's with problems if you read all the topics.

When you consider how few Q5's are out there, to have so many problems mentioned is a bit worrying.

I am amazed how many members seem to take their problems so calmly, wondering if they should take it back to the dealers or not. The answer is YES, and make a song and dance about it to ensure that Audi know about the problems and get them sorted at the factory.

Just remember that the Audi Technicians have a really tough job now, these cars are so complicated, so go easy on these guys!

If everybody just excepts that they all do it mentality - things will never get sorted!

Rant over









Any thoughts?

Hoggy

Click to expand...

Hi Hoggy

So pleased you started this thread as I am of the same mind. At first I used to read how the Q5 is so popular that the supply was outstripped by demand. Now we see on a too regular basis all of these problems, some of which are quite concerning.
Are we seeing a marketing stratergy where supply is artificialy restricted so as to create a demand?. Audi are well known for this. Is the production for the Q5 now being rushed and quality is suffering? 
This is a real concern, as after now a 5 month wait and still no build date confirmed, will we end up with a car of dubious quality. Perhaps we should cut our losses now and stick with MB. At least they take customer service seriously and not just give lip service!
I agree with you, If you have a problem with your Q5 give Audi hell and let Jeremy Hicks know that you are not happy."
CrustyNoodle,"What issues are you referring to?

I'm sure plenty of owners here could comment on the specific issues."
CarbonCopy,"2010 Audi Q5 3.0 TDI 7Spd S-Tronic
2011 BMW 135i 7Spd DCT"
Rog,"Hoggy said:



I am amazed how many members seem to take their problems so calmly, wondering if they should take it back to the dealers or not. The answer is YES, and make a song and dance about it to ensure that Audi know about the problems and get them sorted at the factory.

Just remember that the Audi Technicians have a really tough job now, these cars are so complicated, so go easy on these guys!

If everybody just excepts that they all do it mentality - things will never get sorted!

Any thoughts?

Hoggy

Click to expand...

Hi Hoggy,

I agree entirely - bombard Audi UK with the problems. If they don't know it's broken they can't fix it.

Cheers,

Kev"
Hoggy,"It doesn't strike me that there are loads of issues on the Q5? Are there?

imho...No car is completely without issues. I've been with MB and LR. MB had some faults too but LR were the worst because they designed the faults in but then couldn't fix them....so they changed the fault to call it a Characteristic that once out of warranty would cost circa ?300 to fix 3 or 4 times a year.....now that's what I call a problem. Glad I sold it now"
zara,"2010 Daytona Grey 3.0 Tdi S line. Running on 19"" Pirelli Scorpion Verde All Season tyres"
Hoggy,"Hi Josh

I'm sure for every problem there are 100 satisfied customers, I hope









Hoggy"
QueFive,"Am little bemused by this....have to say we have only had our Q5 since January 12th 2010....and not a problem in sight, so am only thinking we must be extremely lucky!! we are enjoying the car so much that in these 5 months we have already clocked 6500 miles, been upto scotland and back twice, all just cruising along....I do hope those with reliability issues do head straight back to their dealer...your paying alot of money and your car should be perfect (like ours







) best of luck and do hope you can all start loving your new motors like meee!!!!"
Rog,"zara said:



Am little bemused by this....have to say we have only had our Q5 since January 12th 2010....and not a problem in sight, so am only thinking we must be extremely lucky!! we are enjoying the car so much that in these 5 months we have already clocked 6500 miles, been upto scotland and back twice, all just cruising along....I do hope those with reliability issues do head straight back to their dealer...your paying alot of money and your car should be perfect (like ours







) best of luck and do hope you can all start loving your new motors like meee!!!!

Click to expand...

Just looking for 99 other satisfied Q5 owners like Zara!"
