,Comment,id,date,Pos,Neg,Neu
0,Exactly what I’ve been waiting for...I love the GTS packaging.,"
 @golfbuddy1969
 ",3 years ago (edited),0.318,0.0,0.682
1,"I love my Macan. Perfect balance of sport and comfort️
The purr of the engine gets me every time","
 @alexandra6864
 ",3 years ago (edited),0.331,0.0,0.669
2,Utterly phenomenal. The range is complete!,"
 @SamGiles
 ",3 years ago,0.0,0.0,1.0
3,"I didn’t really like the updated Macan, especially because of the rear. But now I have to say the new Macan GTS is pretty damn sexy ","
 @d.l6184
 ",3 years ago,0.314,0.103,0.582
4,"I just configured one fully loaded....$115k. I wish it had nice interior multi color ambient lighting (doesn't have to be at the crazy level of MB or Audi, but something sweet and subtle). I wish there were the option for the deviated stitching to be yellow, and yellow seatbelts to go with the yellow calipers on the ceramic breaks. Or to have green stitching and belts to match the green exterior color option.","
 @jeffs6090
 ",3 years ago,0.151,0.022,0.827
5,It needs a louder exhaust.  It should have a quite and loud mode.  Ive heard Macans with an after market exhaust.  The sound is amazing.,"
 @bngr_bngr
 ",3 years ago,0.135,0.156,0.709
6,Nice!  The  GTS package is excellent and it will be the only Macan with red brake calipers.,"
 @alanmorelli1426
 ",3 years ago,0.312,0.0,0.688
7,"Porsche, always making good orchestra music! Love!","
 @KevinChangSuiFat
 ",3 years ago,0.606,0.0,0.394
8,The sound ️,"
 @tomasbraganca9751
 ",3 years ago,0.0,0.0,1.0
9,That sound is amazing!!!,"
 @cdclydesdale
 ",3 years ago,0.609,0.0,0.391
10,Every car Porsche make is just perfect.,"
 @reflectingonlife9029
 ",3 years ago,0.381,0.0,0.619
11,This video gives you any information you could ask for. Another highlight of Porsche marketing. Bravo,"
 @Romulus238
 ",3 years ago,0.138,0.0,0.862
12,Love it badly ,"
 @vj9809
 ",3 years ago,0.506,0.373,0.12
13,"Nice ride. I thought about buying but then heard about the timing cover bolt issue. The aluminum bolts snap and it costs $10,000 to pull the engine and fix it. That's a real bummer.","
 @SLazz
 ",5 months ago,0.054,0.096,0.85
14,The only thing Porsche is doing right is everything,"
 @dnyaneshshinde8151
 ",3 years ago (edited),0.0,0.0,1.0
15,Still waiting for the EV version,"
 @mtumasz
 ",3 years ago,0.0,0.0,1.0
16,"Let’s hope the Macan GTS, one of the few amazing sounding cars out there isn’t too ruined with these stupendous EU regulations","
 @MrCpBiggestFan
 ",3 years ago,0.233,0.108,0.66
17,"Porsche i love your brand you are the best, you make the best cars ever","
 @darkkk8957
 ",1 year ago,0.534,0.0,0.466
18,"Ich liebe es, wie Porsche hier vom Mainstream-Familienbild abweicht und eigenständig bleibt. ;-)","
 @lifeofjoyandcreation
 ",3 years ago,0.143,0.0,0.857
19,"Dear @Porsche, why you keep forgetting to add the Gleam giveaway link in the video descriptions? I love this Macan ","
 @filiped7298
 ",3 years ago,0.286,0.0,0.714
20,"Imagine what an even better SUV this would be if it wasn't so low geared???? NO road vehicle should have a 4.56 gear ratio. It's a ""911 on stilts"" not a dumptruck.","
 @Vampirebear13
 ",3 years ago,0.174,0.09,0.736
21,i would love to see the H6 engine instead of the v6 engine in the macan,"
 @ram00sa00
 ",3 years ago,0.231,0.0,0.769
22,Finally something real and much better then Tycan,"
 @BenzinioB
 ",3 years ago,0.293,0.0,0.707
23,"I need this Macan, but I want the Cayman.","
 @jonathanl2748
 ",3 years ago,0.195,0.0,0.805
24,So beautiful in this red!,"
 @SupercarsinGreece
 ",3 years ago,0.529,0.0,0.471
25,Porsche always no1,"
 @tuancuong1260
 ",3 years ago,0.0,0.0,1.0
26,Sounds like Optimus Prime is back.,"
 @donnieteng9863
 ",3 years ago,0.333,0.0,0.667
27,and still no head up display in a +110k car...,"
 @sineset2688
 ",3 years ago,0.0,0.216,0.784
28,"Damn thr new audi q5 is pre cool ;) not a fan of how the 992, this and cayenne all share same light design. Theyre going to pull an audi and merc (sort of bmw too) mistake of the S,M,L template.","
 @stefanfreestylez
 ",3 years ago,0.135,0.149,0.716
29,الحلم ,"
 @asmrsy1474
 ",2 years ago,0.0,0.0,1.0
30,I want a 911 Safari,"
 @CEAAJI
 ",3 years ago,0.394,0.0,0.606
31,lets be honest who takes their porsche to the woods?,"
 @samopp1410
 ",3 years ago,0.268,0.0,0.732
32,Yaaaawn ... Let me know when the Turbo S comes out ... if it has more than 490 BHP I may trade in my old Macan Turbo ... but don't try to sell it to me with the diverse family cos otherwise I'm gonna go for the X4 M,"
 @speaklikeanative
 ",3 years ago (edited),0.0,0.0,1.0
33,just somebody give me the money so I can buy this car,"
 @rahfuga
 ",2 years ago,0.0,0.0,1.0
34,He's driving fast with a kid in the car!,"
 @AJ5
 ",3 years ago,0.0,0.0,1.0
35, Porche,"
 @takoba911
 ",3 years ago,0.0,0.0,1.0
36,COOL!!!,"
 @harshvardhansingh1350
 ",3 years ago,1.0,0.0,0.0
37,"stunning, but is it quieter than the last one?","
 @saibot1221
 ",3 years ago,0.184,0.0,0.816
38,,"
 @veronicamiclaus9419
 ",1 month ago,0.0,0.0,0.0
39,I bought this one,"
 @ruscaryt4480
 ",2 years ago,0.0,0.0,1.0
40,Please keep the interior as it is Porsche otherwise you'll ruin the macan as everyone loves clicky buttons.,"
 @onkarmastermind
 ",3 years ago,0.242,0.153,0.605
41,THE CAR,"
 @tei1847
 ",3 years ago,0.0,0.0,1.0
42,Why people say it ma-kan (eat) instead of ma-chan (tiger)? Since the name of this car got from the translation of  tiger which is ma-chan.,"
 @BlastoiseDan22
 ",3 years ago,0.0,0.0,1.0
43,"But its just a suv, or crossover, or whatever the hell you call it. You could literally tune a Honda and have more fun. While also not going airborne after 100mph.","
 @CAfakmykak
 ",3 years ago,0.128,0.167,0.705
44,of course they had to include a mixed race couple in there somewhere lmao,"
 @LRT-jh8yq
 ",3 years ago,0.245,0.0,0.755
45,CAMERA is rolling continuously. Please take new video.,"
 @mustafaerdogan3380
 ",3 years ago,0.247,0.0,0.753
46,Porsche ist Liebe,"
 @thedoc5041
 ",2 years ago,0.0,0.0,1.0
47,"this price,maybe x3m/glc 63 are better","
 @johnlu9368
 ",3 years ago,0.367,0.0,0.633
48,The only dislikes are Audi and AMG fanboys,"
 @UProductions457
 ",3 years ago,0.0,0.278,0.722
49,There was no need for a Gen 3 !,"
 @backinthegame34
 ",1 year ago,0.0,0.333,0.667
50,"Upgrade the interior to match the Cayenne and Panamera, please & thanks.","
 @whoisvjm
 ",3 years ago,0.366,0.0,0.634
51,,"
 @highfive55
 ",3 years ago,0.0,0.0,0.0
