,Comment,id,date,Pos,Neg,Neu
0,BMW X3 vs Mercedes GLC: Which is best? VOTE BELOW!,"


@carwow


 
 @carwow
 








",12 days ago,0.333,0.0,0.667
1,X3 was never a looker but this one is by far the best one.,"
 @BuDDa100
 ",12 days ago,0.326,0.0,0.674
2,I actually quite like the front end design. BMW hasn't gone bonkers - the lights and grille look well proportioned. I guess it reminds me of slightly older BMW's - same with the interior - but to me that's a good thing!,"
 @TechBaffle
 ",12 days ago (edited),0.187,0.0,0.813
3,"It may be out of date, but the interior in the X3 is infinitely more beautiful and useful than the one in the newer BMWs. Same goes for the outside. They have lost the plot.","
 @GermanCptSlow
 ",12 days ago,0.223,0.066,0.711
4,"I've had my G01 LCI M40i for a little over a year now. I love it. No major complaints. The B58 is perfect for it. Handles fine. Suspension is decent, unlike the M's which are brutal. No complaints about the interior or exterior styling. I love the exterior styling. The interior is fine. My only complaint comes from the seats. My back doesn't like them. I have the heated and cooled seats. Wish the massaging seats from the M550 were offered. I got spoiled by those and I want them back. Otherwise, I'm pretty happy with the vehicle. I could do without the ""mild hybrid"" 48V BS and the resulting Auto start/stop, but otherwise, all good.","
 @MikeL-FL
 ",12 days ago,0.173,0.101,0.727
5,Would take this X3 over a GLC or a Q5 any day! Great looks & great performance and sound the M40i,"
 @jhk2226
 ",12 days ago,0.347,0.0,0.653
6,I really think Matt was the one who started the load cover storage campaign that manufacturers now do.,"
 @Mellow6996
 ",12 days ago,0.0,0.0,1.0
7,I think this X3 looks very much like the previous X5. Excellent design and timeless. Also inside. Their latest cars.. hmmm,"
 @mrv6159
 ",12 days ago,0.265,0.0,0.735
8,"I have never had an issue with BMW styling, and even if I did, the design has grown on me. This one is another great one. One thing though, BMW designs always stay modern.","
 @snbala
 ",12 days ago,0.117,0.0,0.883
9,I've got my 30i now for 5 days and I can say I'm so happy. It's almost perfect. The build quality is light years ahead of previous f31 I have owned. That car was such a crap on the inside.  Everything squeaked and creaked. l love this x3. Best car ever. Wouldn't trade it for the latest GLE that I occasionally drive.,"
 @hefic
 ",6 days ago,0.236,0.037,0.727
10,"Got the ix3 that looks identical and honestly love this car. It's well built, the styling is old fashioned which for me is a positive and the amount of buttons inside is a dream (I'm old fashioned like that). Like how the front looks too and it drives better then the x5 - it just handles better and more fun. My lease is up next year and I'm most likely going to keep the car forever and get something like a used 2017 x5 for my off roading needs. Ive never had the feeling that I would want to keep a car until this one so fingers crossed nothing breaks before (or after) the next year haha!","
 @SpaceRock93
 ",12 days ago (edited),0.27,0.01,0.72
11,"I brought a X3 2.0i M sport with lots of options last year.
Took 7 months to order it.
It a good car to be honest.
Does everything I need it to do.
Very frugal average around 50 miles per gallon on motor way, around town it drops to 25mpg
Can't complain","
 @georgeyung3546
 ",12 days ago,0.162,0.0,0.838
12,"I'm looking forward to the future models as well, as the new BMW designs have a perfect balance between the interior and exterior, and the M Sport package truly embodies the essence of BMW's design.","
 @Ksm0122
 ",9 days ago,0.225,0.0,0.775
13,"I've said it a couple of times already but you should definately include the daytime running lights in the reviews! They really are a huge part of the design and in lots of occasions there are design options depending on your trim choice!
Why not to include them???","
 @tommimerilainen4753
 ",11 days ago,0.091,0.0,0.909
14,"M40i definitely best choice, because b58. But 30i also a good choice, very good on gas, handles well, tech is still modern, love the physical buttons. I think it looks great.","
 @alexgogolitsyn5849
 ",12 days ago,0.544,0.0,0.456
