,Comment,id,date,Pos,Neg,Neu
0,Shopping for a new car? There's a discount when using The Straight Pipes link tsp.truecar.com,"
 @Exotourbillion66
 ",1 year ago,0.137,0.0,0.863
1,"Personally, I think the new taillights look a lot like the Halo sword.. :D","
 @HimTortons
 ",1 year ago,0.395,0.0,0.605
2,"9:55 as a German, I can tell you German cowboys are almost exactly like the ones in Canada and the USA. The only difference is they greet each other by saying ""Audi"".","
 @arikukuku
 ",1 year ago,0.139,0.0,0.861
3,"As a GLC 43 owner I think the X3m40i, SQ5, Macan S etc., all hit a really nice sweet spot for not being their more expensive, higher performance counterparts. I think 380ish HP is more than enough for a daily driver SUV that you can still have some fun with.","
 @cavarusmiller7690
 ",1 year ago,0.191,0.0,0.809
4,"I worked at the BMW plant here in SC, which produces the X vehicles for a bit. Now I work for the company that produces the doors and instrument panels for BMW. It’s great to see people enjoying the suvs! Great review guys!","
 @Bobby_Vang
 ",1 year ago (edited),0.253,0.0,0.747
5,The interior of this car is great. With the new updated B58 engine this thing is going to be fast as hell since we've been seeing this engine do 460-480whp with FBO ethanol blend.,"
 @lamakicker69
 ",1 year ago (edited),0.101,0.113,0.786
6,Best part about this car is how much tuning potential this engine has. Literally just need a downpipe and an e40 tune and it’s making well over 500hp.,"
 @Shift4g
 ",1 year ago,0.201,0.0,0.799
7,"Correction: The MXX models are not M Sports (which is a package on lower trims), they are M Performance models. They sit above M Sport and under M because the M team actually breathed on them (just to a lesser degree than the pure breds).","
 @drew1073
 ",1 year ago,0.0,0.056,0.944
8,"Great video and review as always guys! Love your critiques but miss your Box test!!
I have a 2021 x3 M40i and the power is addictive but very accessible. The X3M on my test drive was not compatible with commuting due to a super harsh suspension. Audi, MB, and Volvo can’t come close to this combo of power, fuel economy, cargo space and passenger space…plus the infotainment is really great. Exhaust note is also maturing nicely over time. Interesting to note that the highway mph actually went down with the mild hybrid system and the US EPA found no benefit with city mpg. In Ecopro mode this will reliably get 25-27 mpg on the highway at high speed (~75-80mph). I love this car!","
 @curtr.5083
 ",1 year ago,0.227,0.077,0.696
9,"We absolutely adore our 2020 X3 M40i.  It has the same engine tune but no mild-hybrid system.  That thing has been such a tank; it has taken a hit from a truck and continued to run perfectly.  It can deal with deep snow with no problems either, even with the A/S tires (star spec Bridgestones).  It has been super ergonomic, super efficient, and fun for my wife and I.  I would recommend one for anyone even if they have to pay a little more than they want, you won’t regret it!","
 @trabbic
 ",1 year ago,0.271,0.12,0.609
10,"I have a 2021 X3 M40i and I absolutely love it. I drove the X3M and the ride was just too harsh for a daily driver. My car is pretty loaded up with the same rims and I still feel like it's a great value. BTW, I have the exposed wood trim, no cowboy branding tho .

I'm a huge fan of your channel! I subscribed before it was cool.","
 @michaelsmith1603
 ",1 year ago,0.305,0.082,0.613
11,I work at the plant where these are built in the US! So cool to see your opinions on the vehicles I help build! Love the video!,"
 @mr.t7274
 ",1 year ago,0.32,0.0,0.68
12,you guys always get the good combination of interior and exterior,"
 @lamakicker69
 ",1 year ago,0.225,0.0,0.775
13,The best part about this car? How much power the engine can make with basic mods. You literally just need a downpipe and a e50 blend of gas and it’s making 500whp.,"
 @vomErsten
 ",1 year ago,0.127,0.0,0.873
14,"I have a theory about M; I think BMW is acutely aware of how ""diluted"" M cars have become in the balance between enthusiast driving and daily commuting. Starting with the current M3/4, it looks like they are making M even more hardcore and using the M-sport to satisfy all the people who want a more daily-livable M-car. Ergo the Mx40i cars getting all the badges, the mirrors, and even the special edition M-things like the retro emblem. Also why they are getting way more performant than they have ever been before.","
 @s2000killa1
 ",1 year ago,0.153,0.0,0.847
15,"I drove 3 x3/X4M’s to convince myself, coming from an F82. Ended up with an x4 M40i. I strongly advise potential buyers to try these Pseudo M’s without hate. Ultimately, the M40i drove very well, was better damped and sounded better. The x3/X4M just are not as intense as you’d hope, and when you consider gas/maint/insurance it’s not just a few hundred difference. Don’t forget the engine is tuned more NA on M’s which is frustrating in daily driving. I used to hate these M performance cars after 5 M’s but I put my ego aside and ended up enjoying these. Worth a shot.","
 @coolaa7
 ",1 year ago,0.201,0.042,0.757
16,"A little more commentary on how it rides would be nice, how stiff is the suspension in the various modes?","
 @grantberry6070
 ",1 year ago (edited),0.135,0.0,0.865
17,Currently my daily driver and I love every bit of it ,"
 @cosyr
 ",1 year ago,0.318,0.0,0.682
18,"Bring back the Box test! You guys were the only ones that did that, and it's so useful!","
 @manashpathak7006
 ",1 year ago,0.203,0.0,0.797
19,"Liked the videography. Very few car reviewing channels shows the car more while driving now a days and shows the driver instead, which makes the video boring for car enthusiasts. You guys are doing a fantastic job. ","
 @gregorytrane7828
 ",1 year ago,0.209,0.055,0.736
20,"Good review as always. I always get the impression that you two like the Porsche's more for performance, driving dynamics, workmanship, quality materials or ergonomics but not the costly price (for which I agree because Porsche makes you pay for everything). You both seem more enthusiastic driving the Porsche's in cliche corner. I could be mistaken but it's just a personal observation.","
 @markmac9594
 ",1 year ago,0.231,0.069,0.7
21,I think the limp test is a great idea it shows how good the seats are bolstered,"
 @pej7445
 ",1 year ago,0.35,0.0,0.65
22,"I have a 2019 X3 m40i and added a JB+ to get 400hp. It's an amazing SAV! Great size, power, comfort, and a blast to drive!","
 @gilbertferguson1685
 ",1 year ago,0.366,0.0,0.634
23,"Love my 2020 X3 M40i. Did not get M badges over the fender vents, but the European models did. Go figure. 
Nice video. ","
 @marnuscoreyempanadaslooseb6760
 ",1 year ago,0.24,0.0,0.76
24,"I had a X3M40i for a day when my E90 LCI 323i went in for a service two years ago and it was an absolute beast. I would buy one, but it doesn’t have enough boot space for my dog.","
 @sid007dhanda
 ",1 year ago,0.0,0.0,1.0
25,Love your content.....I know u guys do box tests but do the boot space in ltrs....will help a lot.....thanks ,"
 @jpkc86
 ",1 year ago,0.291,0.0,0.709
26,"The ""I went limp"" test had me rolling! Haha. THC + TSP is a good combo!","
 @joellarrysr9977
 ",1 year ago,0.351,0.0,0.649
