,Comment,id,date,Pos,Neg,Neu
0,Shopping for a new car? There's a discount when using The Straight Pipes link tsp.truecar.com,"


@TheStraightPipes


 
 @TheStraightPipes
 








",1 year ago,0.137,0.0,0.863
1,"My Porsche dealership experience itself has always been great, but you guys aren't wrong about delaying on ""cheaper"" models. Was stuck between a Spyder and GTS 4.0, the wait for Spyder was 8-12 months, GTS 4.0 would have been well over a year IF they could even get one. Obviously I went for the Spyder haha","


@BlargMyShnoople


 
 @BlargMyShnoople
 








",1 year ago,0.199,0.04,0.762
2,The back seat/trunk space part was amazing! It gave me a better feel for what it would actually be like to live with! Thank you for the extra work that you put in to get that shot!,"
 @Godmadepiano
 ",1 year ago,0.282,0.0,0.718
3,Please do more of the back seat/trunk space scenes! It's incredibly relevant for someone actually looking to purchase this car and you guys did it super efficiently and amazingly!,"
 @purplemonkeys11
 ",1 year ago,0.267,0.0,0.733
4,The first shipments and allocations for the 2022’s were actually the base cars. They sell way more lightly optioned base Macans than anything else. Given they know where their bread is buttered it isn’t hard at all to a get a lightly optioned one. Your tester actually has a lot of options. In fact that matte texture on the dash panel is leather and that is a fairly pricey upgrade over the standard Piano Black (though wood and Aluminium are now available at no extra cost),"
 @mydsmber05
 ",1 year ago,0.0,0.043,0.957
5,"Good review of a base model, that is good to see.  Often only up-model versions are reviewed but some of us are aiming a little lower as a starting point into a brand.  Your videography and editing are quite good.","
 @mrkfrtz
 ",1 year ago,0.184,0.056,0.76
6,Guys this was an amazing review loved every part of  it.and the new segment where Jakub reviews the seating capacity is a great welcome.️,"
 @prakultyagi
 ",1 year ago,0.371,0.0,0.629
7,"Considering the next-gen Mecan is supposed to go fully EV, this might be the bargain ICE Porsche to buy right now. Love the looks, it's always been my favorite German SUV. Great review guys!","
 @christopherprose3881
 ",1 year ago,0.309,0.0,0.691
8,"I love that you guys did the rear seats and cargo!   Really well done guys!  It's great to see this for reference and, it really helps family guys!","
 @Exiledspectre
 ",1 year ago (edited),0.386,0.0,0.614
9,"1:30, really enjoyed this bit.  A nice upgrade in presentation.  Would also LOVE if you would provide the vehicle's weight along side horsepower and torque.","
 @elgiacomo
 ",1 year ago,0.35,0.0,0.65
10,"I leased a base 2021 Macan and absolutely love it. Completely agree that it is a starter Porsche meant to get you into the brand. I can state that it is difficult for me to plan on driving anything else moving forward (I realize I am lucky to be in the situation) ... I hope to upgrade to a Taycan next. Overall the drive and feel for the road are unlike anything else I have driven. It's a fun car to drive and the brand experience at the dealership is top notch. No upselling, they know what they offer and are excited for new buyers as they know they will get you hooked. Macan EV will be awesome to see soon!","
 @theoaklandpanda9129
 ",1 year ago,0.189,0.036,0.775
11,"Just got this 2022 macan 1 week ago! Absolutley love it as a first time porsche owner.  So far everything is pretty similar to what you said. I noticed the same thing you mentioned about the engine, but roughly 1000kms in I feel like its starting to get smoother as I drive it more on a daily basis. Plus the car is starting to pop and bruble alot more in sport mode 1st gear 3k-4k range.","
 @mrtony7324
 ",1 year ago,0.11,0.0,0.89
12,"Love our base model Macan!  Test driving it back to back with a Q5, X3 and Passport it was clear the Macan is so much better.  Bought it in the first months of the pandemic with a big discount.  Does a great job towing the racecar as well!","
 @stevemartegani
 ",1 year ago,0.295,0.0,0.705
13,"When I was deciding between the Macan S or X3 M40i, I ultimately went with the X3 M40i because exactly of the additional headspace and legroom in the back. But the Macan looks a lot better than the X3 in my mind.","
 @HEEHEEBOII
 ",1 year ago,0.094,0.0,0.906
14,"As always, I enjoy your videos. I’m contemplating trading my 2020 718 in for a 2022 base Macan that’s pretty well equipped, and beautiful.
I was hopeful to retain the sports car element as I’ve had 4 Porsche sports cars within a utility vehicle. But when you said current Porsche owners might consider it a downgrade to get a base Macan as in essence the driving experience isn’t the same, it made me rethink that pursuit.","
 @michaelpoggioli4356
 ",1 year ago,0.139,0.0,0.861
